Date,AAPL,MSFT,SPY,TSLA
2022-03-31,172.01475524902344,301.74029541015625,433.5746765136719,359.20001220703125
2022-04-01,171.71920776367188,302.82666015625,434.8034973144531,361.5299987792969
2022-04-04,175.7877960205078,308.25836181640625,438.5282287597656,381.8166809082031
2022-04-05,172.45803833007812,304.2554931640625,432.9890441894531,363.7533264160156
2022-04-06,169.2760772705078,293.1179504394531,428.65948486328125,348.586669921875
2022-04-07,169.5814666748047,294.9481201171875,430.8194274902344,352.4200134277344
2022-04-08,167.56190490722656,290.6419372558594,429.66748046875,341.8299865722656
2022-04-11,163.2864227294922,279.181396484375,422.32354736328125,325.30999755859375
2022-04-12,165.1680450439453,276.04962158203125,420.7586975097656,328.98333740234375
2022-04-13,167.8673095703125,281.4911193847656,425.577880859375,340.7900085449219
2022-04-14,162.83326721191406,273.86712646484375,420.2786865234375,328.3333435058594
2022-04-18,162.61654663085938,274.5423889160156,420.45147705078125,334.7633361816406
2022-04-19,164.91188049316406,279.2205505371094,427.2386779785156,342.7166748046875
2022-04-20,164.74441528320312,280.2579650878906,426.921875,325.73333740234375
2022-04-21,163.94644165039062,274.82623291015625,420.537841796875,336.260009765625
2022-04-22,159.38526916503906,268.190673828125,408.9986572265625,335.01666259765625
2022-04-25,160.45907592773438,274.7381591796875,411.36981201171875,332.67333984375
2022-04-26,154.4694366455078,264.4619445800781,399.4562683105469,292.1400146484375
2022-04-27,154.24288940429688,277.1849060058594,400.5794677734375,293.836669921875
2022-04-28,161.20777893066406,283.4582824707031,410.6978759765625,292.5033264160156
2022-04-29,155.30679321289062,271.6063537597656,395.5202941894531,290.2533264160156
2022-05-02,155.61224365234375,278.4082946777344,397.9010314941406,300.9800109863281
2022-05-03,157.10958862304688,275.7755432128906,399.7250061035156,303.0833435058594
2022-05-04,163.55238342285156,283.8008728027344,411.8978576660156,317.5400085449219
2022-05-05,154.43991088867188,271.4399719238281,397.2578430175781,291.09332275390625
2022-05-06,155.1699676513672,268.87579345703125,394.88665771484375,288.54998779296875
2022-05-09,150.02000427246094,258.94207763671875,382.2434387207031,262.3699951171875
2022-05-10,152.4371337890625,263.7572326660156,383.12664794921875,266.67999267578125
2022-05-11,144.5346221923828,254.9979705810547,377.0402526855469,244.6666717529297
2022-05-12,140.6474151611328,249.9088134765625,376.6466369628906,242.6666717529297
2022-05-13,145.13641357421875,255.5558319091797,385.6514892578125,256.5299987792969
2022-05-16,143.58746337890625,255.92771911621094,384.0866394042969,241.4566650390625
2022-05-17,147.2378387451172,261.13433837890625,391.9874572753906,253.8699951171875
2022-05-18,138.93081665039062,249.2449951171875,376.18585205078125,236.60333251953125
2022-05-19,135.50735473632812,248.32290649414062,373.8818359375,236.47332763671875
2022-05-20,135.74412536621094,247.75392150878906,374.0450744628906,221.3000030517578
2022-05-23,141.1900634765625,255.6899871826172,381.04339599609375,224.96665954589844
